"","time","avg.parasites","alive.or.dead","resistance.level","sim.num"
"1",1,15.19,"alive","Higher Infection Resistance","1"
"2",2,15.020202020202,"alive","Higher Infection Resistance","1"
"3",3,14.8367346938776,"alive","Higher Infection Resistance","1"
"4",4,14.7916666666667,"alive","Higher Infection Resistance","1"
"5",5,14.5,"alive","Higher Infection Resistance","1"
"6",6,14.3368421052632,"alive","Higher Infection Resistance","1"
"7",7,14.2021276595745,"alive","Higher Infection Resistance","1"
"8",8,14.0744680851064,"alive","Higher Infection Resistance","1"
"9",9,14.0322580645161,"alive","Higher Infection Resistance","1"
"10",10,13.9354838709677,"alive","Higher Infection Resistance","1"
"11",11,13.7608695652174,"alive","Higher Infection Resistance","1"
"12",12,13.6413043478261,"alive","Higher Infection Resistance","1"
"13",13,13.5,"alive","Higher Infection Resistance","1"
"14",14,13.4021739130435,"alive","Higher Infection Resistance","1"
"15",15,13.2307692307692,"alive","Higher Infection Resistance","1"
"16",16,13.0561797752809,"alive","Higher Infection Resistance","1"
"17",17,12.9438202247191,"alive","Higher Infection Resistance","1"
"18",18,12.7977528089888,"alive","Higher Infection Resistance","1"
"19",19,12.6741573033708,"alive","Higher Infection Resistance","1"
"20",20,12.561797752809,"alive","Higher Infection Resistance","1"
"51",1,18.3,"alive","Higher Clearance","1"
"52",2,16.3131313131313,"alive","Higher Clearance","1"
"53",3,14.6767676767677,"alive","Higher Clearance","1"
"54",4,13.010101010101,"alive","Higher Clearance","1"
"55",5,11.6565656565657,"alive","Higher Clearance","1"
"56",6,10.6122448979592,"alive","Higher Clearance","1"
"57",7,9.55102040816327,"alive","Higher Clearance","1"
"58",8,8.56122448979592,"alive","Higher Clearance","1"
"59",9,7.77551020408163,"alive","Higher Clearance","1"
"60",10,7.09278350515464,"alive","Higher Clearance","1"
"61",11,6.37113402061856,"alive","Higher Clearance","1"
"62",12,5.90721649484536,"alive","Higher Clearance","1"
"63",13,5.23711340206186,"alive","Higher Clearance","1"
"64",14,4.76288659793814,"alive","Higher Clearance","1"
"65",15,4.4020618556701,"alive","Higher Clearance","1"
"66",16,4.10309278350515,"alive","Higher Clearance","1"
"67",17,3.60824742268041,"alive","Higher Clearance","1"
"68",18,3.22105263157895,"alive","Higher Clearance","1"
"69",19,2.91489361702128,"alive","Higher Clearance","1"
"70",20,2.54255319148936,"alive","Higher Clearance","1"
"128",1,15.53,"alive","Higher Infection Resistance","2"
"129",2,15.39,"alive","Higher Infection Resistance","2"
"130",3,15.1919191919192,"alive","Higher Infection Resistance","2"
"131",4,15.0714285714286,"alive","Higher Infection Resistance","2"
"132",5,14.8877551020408,"alive","Higher Infection Resistance","2"
"133",6,14.7291666666667,"alive","Higher Infection Resistance","2"
"134",7,14.6145833333333,"alive","Higher Infection Resistance","2"
"135",8,14.4166666666667,"alive","Higher Infection Resistance","2"
"136",9,14.2315789473684,"alive","Higher Infection Resistance","2"
"137",10,14.1276595744681,"alive","Higher Infection Resistance","2"
"138",11,13.9569892473118,"alive","Higher Infection Resistance","2"
"139",12,13.804347826087,"alive","Higher Infection Resistance","2"
"140",13,13.6630434782609,"alive","Higher Infection Resistance","2"
"141",14,13.4725274725275,"alive","Higher Infection Resistance","2"
"142",15,13.3296703296703,"alive","Higher Infection Resistance","2"
"143",16,13.2777777777778,"alive","Higher Infection Resistance","2"
"144",17,13.1666666666667,"alive","Higher Infection Resistance","2"
"145",18,13.0222222222222,"alive","Higher Infection Resistance","2"
"146",19,12.8555555555556,"alive","Higher Infection Resistance","2"
"147",20,12.7303370786517,"alive","Higher Infection Resistance","2"
"178",1,18.22,"alive","Higher Clearance","2"
"179",2,16.2323232323232,"alive","Higher Clearance","2"
"180",3,14.6938775510204,"alive","Higher Clearance","2"
"181",4,13.0103092783505,"alive","Higher Clearance","2"
