"","initial.parasites","infection.length","penetrated.parasites","established.parasites","No.parasites","host.mort","host.pent.mort","parasite.mort","time.died","parasites.dead","t","total.parasites","total.parasites.detected","var.level","sim.num","unique.id","samplingday"
"ind1",30,180,30,19,19,0,0,0,0,0,1,19,17,"Higher Clearance","1","1","Day1"
"ind2",30,180,30,21,21,0,0,0,0,0,1,21,21,"Higher Clearance","1","1","Day1"
"ind3",30,180,29,15,15,0,0,0,0,0,1,15,15,"Higher Clearance","1","1","Day1"
"ind4",30,180,30,19,19,0,0,0,0,0,1,19,17,"Higher Clearance","1","1","Day1"
"ind5",30,180,30,18,18,0,0,0,0,0,1,18,16,"Higher Clearance","1","1","Day1"
"ind6",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Clearance","1","1","Day1"
"ind7",30,180,29,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","1","1","Day1"
"ind8",30,180,30,15,15,0,0,0,0,0,1,15,14,"Higher Clearance","1","1","Day1"
"ind9",30,180,30,18,18,0,0,0,0,0,1,18,17,"Higher Clearance","1","1","Day1"
"ind10",30,180,30,24,24,0,0,0,0,0,1,24,21,"Higher Clearance","1","1","Day1"
"ind11",30,180,30,21,21,0,0,0,0,0,1,21,19,"Higher Clearance","1","1","Day1"
"ind12",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Clearance","1","1","Day1"
"ind13",30,180,29,14,14,0,0,0,0,0,1,14,10,"Higher Clearance","1","1","Day1"
"ind14",30,180,29,18,18,0,0,0,0,0,1,18,15,"Higher Clearance","1","1","Day1"
"ind15",30,180,30,23,23,0,0,0,0,0,1,23,21,"Higher Clearance","1","1","Day1"
"ind16",30,180,30,20,20,0,0,0,0,0,1,20,18,"Higher Clearance","1","1","Day1"
"ind17",30,180,30,21,21,0,0,0,0,0,1,21,17,"Higher Clearance","1","1","Day1"
"ind18",30,180,30,20,20,0,0,0,0,0,1,20,19,"Higher Clearance","1","1","Day1"
"ind19",30,180,30,18,18,0,0,0,0,0,1,18,17,"Higher Clearance","1","1","Day1"
"ind20",30,180,30,17,17,0,0,0,0,0,1,17,15,"Higher Clearance","1","1","Day1"
"ind110",30,180,29,22,22,0,0,0,0,0,1,22,21,"Higher Infection Resistance","1","1","Day1"
"ind21",30,180,30,16,16,0,0,0,0,0,1,16,16,"Higher Infection Resistance","1","1","Day1"
"ind31",30,180,30,14,14,0,0,0,0,0,1,14,14,"Higher Infection Resistance","1","1","Day1"
"ind41",30,180,30,9,9,0,0,0,0,0,1,9,9,"Higher Infection Resistance","1","1","Day1"
