"","initial.parasites","infection.length","penetrated.parasites","established.parasites","No.parasites","host.mort","host.pent.mort","parasite.mort","time.died","parasites.dead","t","total.parasites","total.parasites.detected","var.level","sim.num","unique.id","tolerance.diff"
"ind1",30,180,30,14,2,0,0,2,0,0,20,2,1,"Higher Clearance","1","1","no"
"ind2",30,180,30,11,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind3",30,180,29,16,3,0,0,0,0,0,20,3,2,"Higher Clearance","1","1","no"
"ind4",30,180,30,16,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind5",30,180,30,16,5,0,0,0,0,0,20,5,2,"Higher Clearance","1","1","no"
"ind6",30,180,30,20,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind7",30,180,29,14,5,0,0,0,0,0,20,5,5,"Higher Clearance","1","1","no"
"ind8",30,180,30,19,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind9",30,180,30,16,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind10",30,180,30,11,4,0,0,0,0,0,20,4,4,"Higher Clearance","1","1","no"
"ind11",30,180,30,13,2,0,0,1,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind12",30,180,30,15,1,0,0,1,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind13",30,180,29,21,1,0,0,0,0,0,20,1,0,"Higher Clearance","1","1","no"
"ind14",30,180,29,14,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind15",30,180,30,10,2,0,0,1,0,0,20,2,1,"Higher Clearance","1","1","no"
"ind16",30,180,30,15,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind17",30,180,30,11,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind18",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind19",30,180,30,17,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind20",30,180,30,18,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind21",30,180,30,15,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind22",30,180,29,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind23",30,180,30,10,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind24",30,180,30,18,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind25",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind26",30,180,29,10,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind27",30,180,29,12,4,0,0,0,0,0,20,4,4,"Higher Clearance","1","1","no"
"ind28",30,180,30,18,0,0,0,0,3,17,20,17,12,"Higher Clearance","1","1","no"
"ind29",30,180,30,15,1,0,0,1,0,0,20,1,0,"Higher Clearance","1","1","no"
"ind30",30,180,30,8,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind31",30,180,30,24,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind32",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind33",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind34",30,180,30,17,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind35",30,180,30,14,3,0,0,1,0,0,20,3,2,"Higher Clearance","1","1","no"
"ind36",30,180,30,16,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind37",30,180,30,15,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind38",30,180,30,16,3,0,0,1,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind39",30,180,30,20,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind40",30,180,29,13,3,0,0,0,0,0,20,3,2,"Higher Clearance","1","1","no"
"ind41",30,180,30,12,2,0,0,0,0,0,20,2,1,"Higher Clearance","1","1","no"
"ind42",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind43",30,180,30,18,3,0,0,1,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind44",30,180,29,17,4,0,0,0,0,0,20,4,4,"Higher Clearance","1","1","no"
"ind45",30,180,29,19,2,0,0,0,0,0,20,2,1,"Higher Clearance","1","1","no"
"ind46",30,180,30,15,1,0,0,1,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind47",30,180,30,13,1,0,0,1,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind48",30,180,30,13,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind49",30,180,30,14,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind50",30,180,30,14,0,0,0,2,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind51",30,180,30,13,0,0,0,0,13,1,20,1,1,"Higher Clearance","1","1","no"
"ind52",30,180,29,14,1,0,0,2,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind53",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind54",30,180,30,18,6,0,0,1,0,0,20,6,5,"Higher Clearance","1","1","no"
"ind55",30,180,29,12,1,0,0,1,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind56",30,180,30,18,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind57",30,180,30,17,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind58",30,180,30,14,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind59",30,180,28,10,2,0,0,1,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind60",30,180,29,12,2,0,0,0,0,0,20,2,1,"Higher Clearance","1","1","no"
"ind61",30,180,30,15,2,0,0,2,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind62",30,180,30,13,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind63",30,180,30,18,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind64",30,180,30,14,4,0,0,0,0,0,20,4,3,"Higher Clearance","1","1","no"
"ind65",30,180,30,14,0,0,0,1,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind66",30,180,30,15,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind67",30,180,30,12,3,0,0,0,0,0,20,3,2,"Higher Clearance","1","1","no"
"ind68",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind69",30,180,29,18,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind70",30,180,30,13,1,0,0,1,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind71",30,180,30,14,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind72",30,180,30,17,4,0,0,0,0,0,20,4,3,"Higher Clearance","1","1","no"
"ind73",30,180,30,19,3,0,0,1,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind74",30,180,29,18,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind75",30,180,30,14,4,0,0,0,0,0,20,4,4,"Higher Clearance","1","1","no"
"ind76",30,180,29,13,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind77",30,180,30,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind78",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind79",30,180,30,12,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind80",30,180,30,18,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind81",30,180,30,12,3,0,0,0,0,0,20,3,2,"Higher Clearance","1","1","no"
"ind82",30,180,30,11,0,0,0,0,0,0,20,0,0,"Higher Clearance","1","1","no"
"ind83",30,180,30,13,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind84",30,180,30,12,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind85",30,180,29,16,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind86",30,180,30,10,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind87",30,180,30,14,5,0,0,1,0,0,20,5,4,"Higher Clearance","1","1","no"
"ind88",30,180,30,18,3,0,0,1,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind89",30,180,29,13,3,0,0,0,0,0,20,3,3,"Higher Clearance","1","1","no"
"ind90",30,180,30,15,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind91",30,180,29,13,0,0,0,0,19,2,20,2,2,"Higher Clearance","1","1","no"
"ind92",30,180,28,15,1,0,0,1,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind93",30,180,30,13,2,0,0,2,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind94",30,180,30,16,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind95",30,180,30,17,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind96",30,180,30,18,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
"ind97",30,180,29,15,2,0,0,0,0,0,20,2,2,"Higher Clearance","1","1","no"
"ind98",30,180,30,11,1,0,0,0,0,0,20,1,1,"Higher Clearance","1","1","no"
