"","Time","cumsum.died","percent.alive","var.level","sim.num","percent.died"
"1",0,0,100,"Higher Exposure Tolerance","1 A",0
"2",1,3,97,"Higher Exposure Tolerance","1 A",3
"3",2,7,93,"Higher Exposure Tolerance","1 A",7
"4",3,10,90,"Higher Exposure Tolerance","1 A",10
"5",4,15,85,"Higher Exposure Tolerance","1 A",15
"6",5,18,82,"Higher Exposure Tolerance","1 A",18
"7",6,21,79,"Higher Exposure Tolerance","1 A",21
"8",7,25,75,"Higher Exposure Tolerance","1 A",25
"9",8,26,74,"Higher Exposure Tolerance","1 A",26
"10",9,31,69,"Higher Exposure Tolerance","1 A",31
"11",10,33,67,"Higher Exposure Tolerance","1 A",33
"12",11,34,66,"Higher Exposure Tolerance","1 A",34
"13",12,36,64,"Higher Exposure Tolerance","1 A",36
"14",13,36,64,"Higher Exposure Tolerance","1 A",36
"15",14,37,63,"Higher Exposure Tolerance","1 A",37
"16",15,39,61,"Higher Exposure Tolerance","1 A",39
"17",16,44,56,"Higher Exposure Tolerance","1 A",44
"18",17,46,54,"Higher Exposure Tolerance","1 A",46
"19",18,47,53,"Higher Exposure Tolerance","1 A",47
"20",19,49,51,"Higher Exposure Tolerance","1 A",49
"21",20,50,50,"Higher Exposure Tolerance","1 A",50
"22",0,0,100,"Higher Infection Tolerance","1 B",0
"23",1,20,80,"Higher Infection Tolerance","1 B",20
"24",2,20,80,"Higher Infection Tolerance","1 B",20
"25",3,20,80,"Higher Infection Tolerance","1 B",20
"26",4,21,79,"Higher Infection Tolerance","1 B",21
"27",5,22,78,"Higher Infection Tolerance","1 B",22
"28",6,22,78,"Higher Infection Tolerance","1 B",22
"29",7,22,78,"Higher Infection Tolerance","1 B",22
"30",8,23,77,"Higher Infection Tolerance","1 B",23
"31",9,23,77,"Higher Infection Tolerance","1 B",23
"32",10,23,77,"Higher Infection Tolerance","1 B",23
"33",11,23,77,"Higher Infection Tolerance","1 B",23
"34",12,23,77,"Higher Infection Tolerance","1 B",23
"35",13,25,75,"Higher Infection Tolerance","1 B",25
"36",14,25,75,"Higher Infection Tolerance","1 B",25
"37",15,26,74,"Higher Infection Tolerance","1 B",26
